Year,Duration,Director Likes,num_voted_users,Cast Facebook Likes,Poster Faces,User Review Volume, Gross , Budget , GB Ratio ,IMDB Score,Aspect Ratio,Facebook Likes
2003,143,563,809474,48184,3,2113,305388685,140000000,2.18,8.1,2.35,
2014,123,508,305008,81385,1,591,337103873,125000000,2.70,6.7,2.35,52000
2006,174,2000,314253,16008,2,1966,217536138,125000000,1.74,6.6,2.35,
2014,101,107,58498,1031,0,99,131536019,103000000,1.28,6.4,2.35,0
2003,134,0,405973,20952,4,1055,214948780,110000000,1.95,7.5,2.35,
2011,132,681,284792,55345,3,366,209805005,125000000,1.68,7.3,2.35,54000
2011,129,0,338635,22403,2,412,186830669,125000000,1.49,7.5,2.35,
2010,106,255,229679,18003,0,637,163192114,125000000,1.31,5.8,2.35,15000
1990,113,719,240241,1441,0,391,119412921,65000000,1.84,7.5,1.85,
1999,102,323,101411,1815,1,546,32694788,85000000,0.38,6.6,2.35,0
2012,135,209,229823,12175,0,504,113165635,125000000,0.91,6.7,2.35,
1997,125,541,189855,2699,3,1018,107285004,125000000,0.86,3.7,1.85,0
2000,110,2000,141414,4146,0,482,260031035,123000000,2.11,6,1.85,
2004,124,776,333248,20553,0,1159,186739919,125000000,1.49,6.4,2.35,19000
2000,123,610,242188,11930,0,1426,215397307,125000000,1.72,6.1,2.35,
2000,130,249,133076,2684,0,779,182618434,140000000,1.30,6.4,2.35,0
2007,92,167,213275,15302,3,436,131920333,130000000,1.01,5.6,2.35,
2012,127,0,440084,2121,0,755,124976634,120000000,1.04,8,1.85,122000
2007,123,160,182661,14017,1,681,115802596,110000000,1.05,5.2,2.35,
2016,123,521,40123,13752,0,297,108521835,120000000,0.90,7.1,2.35,31000
2003,107,368,100821,4046,0,554,100685880,120000000,0.84,4.8,2.35,
2012,124,0,456260,24098,0,2326,126464904,130000000,0.97,7,2.35,97000
2002,77,50,36471,2682,0,69,64736114,120000000,0.54,5.4,1.85,
2013,109,662,338087,17689,0,814,93050117,115000000,0.81,6.6,2.35,61000
2004,134,123,183909,17159,0,666,57637485,105000000,0.55,6.7,2.35,
2014,117,294,182899,14161,0,630,58607007,100000000,0.59,6.2,2.35,6000
2008,135,0,57873,902,0,414,43929341,120000000,0.37,6.1,2.35,
2010,121,274,35066,993,4,196,30212620,120000000,0.25,5.3,1.85,0
2010,117,446,148280,12731,0,348,76418654,117000000,0.65,6.3,2.35,
2013,124,364,387436,22004,0,892,89021735,120000000,0.74,7,2.35,71000
2005,140,0,520104,44042,4,3286,380262555,113000000,3.37,7.6,2.35,
2002,142,0,464310,42990,3,3516,310675583,115000000,2.70,6.7,1.78,0
2001,92,0,585659,15013,0,593,289907418,115000000,2.52,8.1,1.85,
2013,138,446,328067,23755,1,533,132550960,120000000,1.10,6.7,2.35,68000
1999,136,0,534658,37723,1,3597,474544677,115000000,4.13,6.5,2.35,
2013,98,16,150618,43286,3,195,187165546,135000000,1.39,7.3,2.35,28000
2002,153,610,55994,15046,0,454,40911830,115000000,0.36,6,2.35,
2016,120,19,37750,46719,2,134,47952020,115000000,0.42,6.1,2.35,16000
2014,101,473,167085,2690,0,491,190871240,125000000,1.53,5.9,2.35,
2013,91,0,582917,87,0,1885,274084951,100000000,2.74,7.8,2.35,147000
1997,108,79,62271,1569,1,277,67155742,116000000,0.58,5.8,2.35,
2015,100,128,110486,1261,3,695,56114221,120000000,0.47,4.3,2.35,41000
2006,108,189,234480,55486,2,444,250863268,110000000,2.28,6.4,1.85,
2015,114,62,147497,16718,0,499,155181732,110000000,1.41,6.1,2.35,52000
1997,119,55,149680,2958,3,328,125332007,110000000,1.14,6.5,2.35,
2000,142,776,207613,19454,1,1144,113330342,110000000,1.03,7.1,2.35,4000
2004,125,0,284852,19359,0,627,125531634,110000000,1.14,6.4,2.35,
2005,126,218,348861,22722,2,798,186336103,120000000,1.55,6.5,2.35,0
2015,119,124,154621,22622,0,258,129995817,110000000,1.18,6.3,2.35,
2004,170,17000,264318,34582,0,799,102608827,110000000,0.93,7.5,2.35,0
2010,85,11,53160,1173,1,121,42776259,112000000,0.38,4.9,2.35,
2011,119,1000,136019,13391,0,443,98780042,120000000,0.82,5.8,2.35,14000
2014,102,263,225273,10583,0,523,106369117,110000000,0.97,6.2,2.35,
2011,103,67,66593,692,3,153,142614158,110000000,1.30,5.5,1.78,31000
2004,76,6,13581,13607,0,88,50026353,110000000,0.45,5.4,1.78,
2016,120,124,44296,12452,3,144,66002193,110000000,0.60,5.8,2.35,12000
2011,127,189,254841,22254,1,426,85463309,110000000,0.78,7.1,2.35,
2013,105,67,27257,914,3,59,71017784,105000000,0.68,5.4,1.85,0
1997,121,101,60573,2027,0,248,48068396,160000000,0.30,3.7,2.35,
2013,114,151,184561,12908,4,554,61656849,110000000,0.56,6.7,2.35,123000
2007,129,235,336235,13961,1,782,134520804,110000000,1.22,7.2,2.35,
2001,171,0,1238746,22342,2,5060,313837577,93000000,3.37,8.8,2.35,21000
2004,120,153,68720,3175,0,191,24004159,110000000,0.22,5.8,2.35,
2001,165,0,79186,14196,1,386,58183966,107000000,0.54,6.8,2.35,0
2003,82,34,36033,2762,1,456,100446895,109000000,0.92,3.8,1.85,
2004,115,295,387632,12068,1,789,144795350,120000000,1.21,7.1,2.35,0
2005,194,0,217373,19600,1,942,47396698,130000000,0.36,7.2,2.35,
1999,84,50,94172,3382,0,179,140015224,133000000,1.05,5.9,1.85,0
2009,97,63,89351,2480,0,214,104374107,105000000,0.99,7.1,1.85,
2015,151,0,472488,14831,1,1023,228430993,108000000,2.12,8.1,2.35,153000
2005,136,0,263329,34839,1,899,35799026,126000000,0.28,6.9,2.35,
2001,104,23,4102,3133,0,89,6712451,90000000,0.07,4.4,1.85,53000
2000,127,57,218341,29069,1,498,101643008,90000000,1.13,6.5,2.35,
2000,171,0,982637,6521,0,2368,187670866,103000000,1.82,8.5,2.35,21000
2002,145,14000,399651,12546,0,1331,132014112,102000000,1.29,7.7,2.35,
2002,174,0,387616,35672,1,858,261970615,100000000,2.62,7.4,2.35,0
2006,144,258,470483,9125,1,2301,167007184,150000000,1.11,8,2.35,
2001,119,13000,177725,2776,0,1368,180011740,100000000,1.80,5.7,2.35,0
1991,153,0,744891,2829,0,983,204843350,102000000,2.01,8.5,2.35,
2009,140,0,230931,64599,1,585,97030725,100000000,0.97,7,2.35,0
2007,176,0,324671,20354,0,458,130127620,100000000,1.30,7.8,1.85,
1994,141,0,190439,4528,0,351,146282411,115000000,1.27,7.2,2.35,0
2009,106,12000,149998,19906,1,285,65452312,100000000,0.65,6.4,2.35,
2010,98,80,85531,24082,10,152,148383780,100000000,1.48,5.5,1.85,0
2010,116,285,189806,20233,2,316,119219978,100000000,1.19,6.7,2.35,
1996,115,55,84424,3454,1,131,101228120,100000000,1.01,6.1,2.35,0
2012,165,16000,955174,40978,1,1193,162804648,100000000,1.63,8.5,2.35,
1996,91,21,102933,4842,0,230,100117603,100000000,1.00,6.9,1.78,0
2000,78,10,128285,2039,1,297,89296573,100000000,0.89,7.3,1.66,
2012,103,165,246803,57881,3,474,85017401,92000000,0.92,6.7,2.35,18000
2004,131,226,255447,13679,0,692,173005002,100000000,1.73,6.9,2.35,
2006,104,14,108076,4487,0,1690,75030163,100000000,0.75,5.1,2.35,0
2009,101,0,87677,1738,0,388,77222184,100000000,0.77,6.8,2.35,
2015,111,456,39956,21393,4,186,34964818,150000000,0.23,5.8,2.35,24000
2013,102,77,85833,14552,2,113,107515297,100000000,1.08,6.7,2.35,
2010,103,207,176598,55175,0,374,67631157,100000000,0.68,6,2.35,25000
1999,121,0,89509,3903,0,524,66862068,83000000,0.81,5.7,2.35,
2006,143,380,400292,33160,0,657,57366262,100000000,0.57,8,2.35,14000
2013,240,17000,780588,46057,3,1138,116866727,100000000,1.17,8.2,2.35,
1995,121,541,190786,2880,4,539,184031112,100000000,1.84,5.4,1.85,0
1997,129,719,221521,2031,0,1049,54700065,105000000,0.52,7.2,1.85,
2012,172,670,284825,22686,5,828,27098580,102000000,0.27,7.5,2.35,124000
2010,101,0,65785,4286,1,160,55673333,80000000,0.70,7,2.35,
2004,87,26,87451,3144,0,660,40198710,100000000,0.40,3.3,2.35,0
2014,101,420,115687,16235,0,269,72660029,100000000,0.73,6,2.35,
2002,95,63,71527,26940,0,217,38120554,140000000,0.27,7.1,1.5,0
2009,102,52,52029,10552,1,224,49392095,100000000,0.49,5.4,1.85,
2014,131,385,127258,52610,15,351,39292022,90000000,0.44,6.1,2.35,56000
2015,114,19,33953,3962,1,163,28772222,105000000,0.27,5.3,2.35,
2005,94,6,40751,1195,0,239,17010646,84000000,0.20,2.2,1.85,881000
2015,122,2000,71782,28328,0,161,24985612,100000000,0.25,7,1.85,
2002,95,31,20295,6161,1,164,4411102,100000000,0.04,3.8,1.85,416000
2010,115,521,110364,13761,1,261,35024475,100000000,0.35,6.9,2.35,
2015,88,20,27918,309,0,155,130174897,99000000,1.31,7.2,1.85,33000
1997,110,342,18697,1722,0,263,10200000,10000000,1.02,7.3,1.85,
2001,130,208,248045,15972,5,890,202007640,98000000,2.06,6.3,2.35,0
2002,216,17000,314033,47657,3,1166,77679638,100000000,0.78,7.5,2.35,
2011,146,611,38690,23240,2,130,9213,94000000,0.00,7.6,2.35,13000
2007,85,9,54077,25590,0,112,58867694,100000000,0.59,6.8,1.85,
2004,93,0,49739,13748,1,407,59475623,90000000,0.66,5.2,1.85,0
2001,152,0,292022,4270,0,1103,108638745,92000000,1.18,7.7,2.35,
2012,85,116,106790,9271,0,177,86897182,95000000,0.91,6.2,1.85,18000
1997,126,0,343274,39319,2,742,63540020,93000000,0.68,7.7,2.35,
2010,146,127,59581,4555,4,293,95328937,100000000,0.95,4.3,1.85,0
2000,89,10,58300,3372,1,139,50802661,95000000,0.53,6.9,1.85,
2012,88,20,145321,25354,0,139,161317423,95000000,1.70,6.6,2.35,14000
2015,105,0,103737,4671,1,322,201148159,95000000,2.12,7,2.35,
2009,135,0,125109,2370,1,593,43982842,65000000,0.68,6.7,2.35,16000
2003,100,475,692482,5641,0,866,380838870,94000000,4.05,8.2,1.85,
2003,192,0,1215718,6434,2,3189,377019252,94000000,4.01,8.9,2.35,16000
2002,172,0,1100446,23052,1,2417,340478898,94000000,3.62,8.7,2.35,
2014,102,44,54501,17098,4,154,17176900,95000000,0.18,5.5,2.35,16000
2001,100,165,157016,12150,1,824,131144183,115000000,1.14,5.7,2.35,
2014,119,0,172707,54031,1,462,23014504,100000000,0.23,6.3,2.35,37000
2001,92,394,219501,2574,0,1236,181166115,93000000,1.95,5.9,1.85,
2011,105,81,403836,13118,0,646,176740650,93000000,1.90,7.6,2.35,47000
2008,107,70,68935,1614,0,125,71148699,90000000,0.79,6.6,2.35,
2013,101,212,165618,15481,2,503,67344392,92000000,0.73,5.3,1.85,66000
2004,137,102,16832,5780,0,267,22406362,107000000,0.21,6,2.35,
2004,115,663,479166,1901,0,815,261437578,92000000,2.84,8,2.35,0
1995,124,212,21102,3611,3,169,11000000,98000000,0.11,5.6,2.35,
2010,118,0,141179,14024,0,419,88761720,95000000,0.93,5.9,2.35,9000
1997,98,188,403014,12998,0,289,250147615,90000000,2.78,7.3,1.85,
1999,82,487,385871,21275,2,515,245823397,90000000,2.73,7.9,1.85,0
2010,98,12000,149947,25780,1,326,81557479,100000000,0.82,6.8,2.35,
2001,90,420,160440,664,2,394,226138454,90000000,2.51,6.6,2.35,0
2000,130,0,98403,12890,0,683,155370362,100000000,1.55,6.6,2.35,
2009,90,97,152601,1227,1,156,124870275,100000000,1.25,7,2.35,0
2009,94,107,166791,1258,0,132,196573705,90000000,2.18,7,1.85,
2013,114,0,236421,5095,1,515,58229120,90000000,0.65,7.3,2.35,7000
2000,94,368,145350,15419,0,643,125305545,92000000,1.36,5.5,2.35,
2006,151,17000,873649,45648,0,2054,132373442,90000000,1.47,8.5,2.35,29000
1998,88,7,171792,4478,0,222,120618403,90000000,1.34,7.5,1.66,
2008,121,0,307539,23484,3,577,110416702,92000000,1.20,7,2.35,0
2011,158,21000,330152,20388,1,632,102515793,90000000,1.14,7.8,2.35,
1995,128,323,299258,14274,1,346,100012500,90000000,1.11,7.6,2.35,0
2009,128,0,477300,23996,3,621,209019489,90000000,2.32,7.6,1.85,
