movie title,Year,Duration,Director Likes,num_voted_users,Cast Facebook Likes,Poster Faces,User Review Volume, Gross , Budget , GB Ratio ,IMDB Score,Aspect Ratio,Facebook Likes
King Kong,2005,201,0,316018,7123,0,2618," $218,051,260 "," $207,000,000 ", 1.05 ,7.2,2.35,0
Titanic,1997,194,0,793059,45223,0,2528," $658,672,302 "," $200,000,000 ", 3.29 ,7.7,2.35,
Captain America: Civil War,2016,147,94,272670,64798,0,1022," $407,197,282 "," $250,000,000 ", 1.63 ,8.2,2.35,72000
Battleship,2012,131,532,202382,26679,0,751," $65,173,160 "," $209,000,000 ", 0.31 ,5.9,2.35,
Jurassic World,2015,124,365,418214,8458,0,1290," $652,177,271 "," $150,000,000 ", 4.35 ,7,2,15000
Skyfall,2012,143,0,522030,2039,0,1498," $304,360,277 "," $200,000,000 ", 1.52 ,7.8,2.35,
Spider-Man 2,2004,135,0,411164,43388,1,1303," $373,377,893 "," $200,000,000 ", 1.87 ,7.3,2.35,0
Iron Man 3,2013,195,1000,557489,30426,3,1187," $408,992,272 "," $200,000,000 ", 2.04 ,7.2,2.35,
Alice in Wonderland,2010,108,13000,306320,79957,0,736," $334,185,206 "," $200,000,000 ", 1.67 ,6.5,1.85,24000
X-Men: The Last Stand,2006,104,420,383427,21714,0,1912," $234,360,014 "," $210,000,000 ", 1.12 ,6.8,2.35,
Monsters University,2013,104,37,235025,14863,0,265," $268,488,329 "," $200,000,000 ", 1.34 ,7.3,1.85,44000
Transformers: Revenge of the Fallen,2009,150,0,323207,3218,0,1439," $402,076,689 "," $200,000,000 ", 2.01 ,6,2.35,
Transformers: Age of Extinction,2014,165,0,242420,3988,2,918," $245,428,137 "," $210,000,000 ", 1.17 ,5.7,2.35,56000
Oz the Great and Powerful,2013,130,0,175409,73441,4,511," $234,903,076 "," $215,000,000 ", 1.09 ,6.4,2.35,
The Amazing Spider-Man 2,2014,142,464,321227,28631,0,1067," $202,853,933 "," $200,000,000 ", 1.01 ,6.7,2.35,41000
TRON: Legacy,2010,125,364,264183,25550,0,665," $172,051,787 "," $170,000,000 ", 1.01 ,6.8,2.35,
Cars 2,2011,106,487,101178,4482,0,283," $191,450,875 "," $200,000,000 ", 0.96 ,6.3,2.35,1000
Green Lantern,2011,123,258,223393,17657,2,550," $116,593,191 "," $200,000,000 ", 0.58 ,5.6,2.35,
Toy Story 3,2010,103,125,544884,19085,3,733," $414,984,497 "," $200,000,000 ", 2.07 ,8.3,1.85,3000
Terminator Salvation,2009,118,368,286095,27468,0,974," $125,320,003 "," $200,000,000 ", 0.63 ,6.6,2.35,
Furious 7,2015,140,0,278232,79150,0,657," $350,034,110 "," $190,000,000 ", 1.84 ,7.2,2.35,94000
World War Z,2013,123,395,465019,32392,0,995," $202,351,611 "," $190,000,000 ", 1.07 ,7,2.35,
X-Men: Days of Future Past,2014,149,0,514125,91434,7,752," $233,914,986 "," $200,000,000 ", 1.17 ,8,2.35,82000
Star Trek Into Darkness,2013,132,14000,395573,21411,0,1171," $228,756,232 "," $190,000,000 ", 1.20 ,7.8,2.35,
Jack the Giant Slayer,2013,114,0,106416,1766,1,205," $65,171,860 "," $195,000,000 ", 0.33 ,6.3,2.35,22000
The Great Gatsby,2013,143,1000,362912,29770,4,753," $144,812,796 "," $105,000,000 ", 1.38 ,7.3,2.35,
Prince of Persia: The Sands of Time,2010,116,179,222403,16149,2,453," $90,755,643 "," $200,000,000 ", 0.45 ,6.6,2.35,23000
Pacific Rim,2013,131,0,381148,19166,0,1106," $101,785,482 "," $190,000,000 ", 0.54 ,7,1.85,
Transformers: Dark of the Moon,2011,154,0,326180,2593,2,899," $352,358,779 "," $195,000,000 ", 1.81 ,6.3,2.35,46000
Indiana Jones and the Kingdom of the Crystal Skull,2008,122,14000,333847,14959,2,2054," $317,011,114 "," $185,000,000 ", 1.71 ,6.2,2.35,
Brave,2012,93,56,273556,5005,0,428," $237,282,182 "," $185,000,000 ", 1.28 ,7.2,2.35,39000
Star Trek Beyond,2016,122,681,53607,1327,4,432," $130,468,626 "," $185,000,000 ", 0.71 ,7.5,2.35,
WALL·E,2008,98,475,718837,2975,0,1043," $223,806,889 "," $180,000,000 ", 1.24 ,8.4,2.35,16000
Rush Hour 3,2007,91,420,121084,1125,2,221," $140,080,850 "," $140,000,000 ", 1.00 ,6.2,2.35,
2012,2009,158,776,283418,2144,0,1055," $166,112,167 "," $200,000,000 ", 0.83 ,5.8,2.35,13000
A Christmas Carol,2009,96,0,72809,48878,0,249," $137,850,096 "," $200,000,000 ", 0.69 ,6.8,2.35,
Jupiter Ascending,2015,127,0,139593,47334,1,720," $47,375,327 "," $176,000,000 ", 0.27 ,5.4,2.35,44000
The Legend of Tarzan,2016,110,282,42372,21175,2,239," $124,051,759 "," $180,000,000 ", 0.69 ,6.6,2.35,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,150,80,286506,1317,5,1463," $291,709,845 "," $180,000,000 ", 1.62 ,6.9,2.35,0
X-Men: Apocalypse,2016,144,0,148379,49684,6,622," $154,985,087 "," $178,000,000 ", 0.87 ,7.3,2.35,
The Dark Knight,2008,152,22000,1676169,57802,0,4667," $533,316,061 "," $185,000,000 ", 2.88 ,9,2.35,37000
Up,2009,96,0,665575,2635,1,704," $292,979,556 "," $175,000,000 ", 1.67 ,8.3,1.85,
Monsters vs. Aliens,2009,94,11,114553,2579,2,187," $198,332,128 "," $175,000,000 ", 1.13 ,6.5,2.35,0
Iron Man,2008,126,4000,696338,39252,3,1055," $318,298,180 "," $140,000,000 ", 2.27 ,7.9,2.35,
Hugo,2011,126,17000,245333,36017,0,678," $73,820,094 "," $170,000,000 ", 0.43 ,7.5,1.85,42000
Wild Wild West,1999,106,188,129601,15870,2,648," $113,745,408 "," $170,000,000 ", 0.67 ,4.8,1.85,
The Mummy: Tomb of the Dragon Emperor,2008,112,357,117927,9131,2,501," $102,176,165 "," $145,000,000 ", 0.70 ,5.2,2.35,0
Suicide Squad,2016,123,452,118992,11287,8,971," $161,087,183 "," $175,000,000 ", 0.92 ,6.9,2.35,
Evan Almighty,2007,96,293,115099,108016,0,257," $100,289,690 "," $175,000,000 ", 0.57 ,5.4,2.35,2000
Edge of Tomorrow,2014,113,218,431620,12652,1,741," $100,189,501 "," $178,000,000 ", 0.56 ,7.9,2.35,
Waterworld,1995,176,58,144337,1004,0,309," $88,246,220 "," $175,000,000 ", 0.50 ,6.1,1.85,0
G.I. Joe: The Rise of Cobra,2009,118,208,174578,26683,4,534," $150,167,630 "," $175,000,000 ", 0.86 ,5.8,2.35,
Inside Out,2015,95,0,345198,2944,1,773," $356,454,367 "," $175,000,000 ", 2.04 ,8.3,1.85,118000
The Jungle Book,2016,106,4000,106072,32921,0,398," $362,645,141 "," $175,000,000 ", 2.07 ,7.8,1.85,
Iron Man 2,2010,124,4000,522371,48638,4,723," $312,057,433 "," $200,000,000 ", 1.56 ,7,2.35,18000
Snow White and the Huntsman,2012,132,274,228554,72881,0,710," $155,111,815 "," $170,000,000 ", 0.91 ,6.1,2.35,
Maleficent,2014,97,171,252257,15516,2,634," $241,407,328 "," $180,000,000 ", 1.34 ,7,2.35,89000
Dawn of the Planet of the Apes,2014,130,198,317542,14363,0,620," $208,543,795 "," $170,000,000 ", 1.23 ,7.6,1.85,
47 Ronin,2013,128,47,116994,20965,2,324," $38,297,305 "," $175,000,000 ", 0.22 ,6.3,2.35,35000
Captain America: The Winter Soldier,2014,136,94,496749,36188,1,742," $259,746,958 "," $170,000,000 ", 1.53 ,7.8,2.35,
Shrek Forever After,2010,93,31,138661,4628,2,173," $238,371,987 "," $165,000,000 ", 1.44 ,6.4,2.35,0
Tomorrowland,2015,130,663,128306,5046,2,497," $93,417,865 "," $190,000,000 ", 0.49 ,6.5,2.2,
Big Hero 6,2014,102,38,279093,2963,0,433," $222,487,711 "," $165,000,000 ", 1.35 ,7.9,2.39,41000
Wreck-It Ralph,2012,101,66,272534,4451,1,345," $189,412,677 "," $165,000,000 ", 1.15 ,7.8,2.35,
The Polar Express,2004,100,0,120798,16264,0,444," $665,426 "," $165,000,000 ", 0.00 ,6.6,2.35,1000
Independence Day: Resurgence,2016,120,776,58137,3233,0,520," $102,315,545 "," $165,000,000 ", 0.62 ,5.5,2.35,
How to Train Your Dragon,2010,98,255,485430,20453,0,492," $217,387,997 "," $165,000,000 ", 1.32 ,8.2,2.35,33000
Terminator 3: Rise of the Machines,2003,109,84,305340,1769,0,1676," $150,350,192 "," $200,000,000 ", 0.75 ,6.4,2.35,
Guardians of the Galaxy,2014,121,571,682155,32438,3,1097," $333,130,696 "," $170,000,000 ", 1.96 ,8.1,2.35,96000
Interstellar,2014,169,22000,928227,31488,1,2725," $187,991,439 "," $165,000,000 ", 1.14 ,8.6,2.35,
Inception,2010,148,22000,1468200,81115,0,2803," $292,568,851 "," $160,000,000 ", 1.83 ,8.8,2.35,175000
The Fast and the Furious,2001,106,357,272223,45327,2,988," $144,512,310 "," $38,000,000 ", 3.80 ,6.7,2.35,
The Curious Case of Benjamin Button,2008,166,21000,459346,13333,2,822," $127,490,802 "," $150,000,000 ", 0.85 ,7.8,2.35,23000
X-Men: First Class,2011,132,905,518537,50983,3,698," $146,405,371 "," $160,000,000 ", 0.92 ,7.8,2.35,
The Hunger Games: Mockingjay - Part 2,2015,137,508,166137,81385,1,383," $281,666,058 "," $160,000,000 ", 1.76 ,6.6,2.35,38000
The Sorcerer's Apprentice,2010,109,226,124185,13388,0,238," $63,143,812 "," $150,000,000 ", 0.42 ,6.1,2.35,
Poseidon,2006,98,249,82380,92456,0,629," $60,655,503 "," $160,000,000 ", 0.38 ,5.6,2.35,0
Alice Through the Looking Glass,2016,113,33,21352,80806,1,131," $76,846,624 "," $170,000,000 ", 0.45 ,6.4,1.85,
Shrek the Third,2007,93,50,211971,4705,2,326," $320,706,665 "," $160,000,000 ", 2.00 ,6.1,1.85,0
Warcraft,2016,123,0,111609,5505,0,781," $46,978,995 "," $160,000,000 ", 0.29 ,7.3,2.35,
Terminator Genisys,2015,126,230,188457,38873,2,867," $89,732,035 "," $155,000,000 ", 0.58 ,6.6,2.35,82000
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113,150,106446,764,4,227," $104,383,624 "," $155,000,000 ", 0.67 ,6.3,1.78,
Pearl Harbor,2001,184,0,254111,5401,0,1999," $198,539,855 "," $140,000,000 ", 1.42 ,6.1,2.35,0
Transformers,2007,144,0,513158,2333,0,1782," $318,759,914 "," $150,000,000 ", 2.13 ,7.1,2.35,
Alexander,2004,206,0,138863,24598,3,1390," $34,293,771 "," $155,000,000 ", 0.22 ,5.5,2.35,0
Harry Potter and the Order of the Phoenix,2007,138,282,355137,33433,3,1108," $292,000,866 "," $150,000,000 ", 1.95 ,7.5,2.35,
Harry Potter and the Goblet of Fire,2005,157,179,385670,53413,1,1896," $289,994,397 "," $150,000,000 ", 1.93 ,7.6,2.35,0
Hancock,2008,102,532,343648,21584,0,590," $227,946,274 "," $150,000,000 ", 1.52 ,6.4,2.35,
I Am Legend,2007,104,508,530870,13076,0,1413," $256,386,216 "," $150,000,000 ", 1.71 ,7.2,2.35,11000
Charlie and the Chocolate Factory,2005,115,13000,320284,57844,3,1361," $206,456,431 "," $150,000,000 ", 1.38 ,6.7,1.85,
Ratatouille,2007,111,663,473887,4764,0,626," $206,435,493 "," $150,000,000 ", 1.38 ,8,2.35,1000
Batman Begins,2005,128,22000,980946,59558,0,2685," $205,343,774 "," $150,000,000 ", 1.37 ,8.3,2.35,
Madagascar: Escape 2 Africa,2008,89,35,146019,3285,0,119," $179,982,968 "," $150,000,000 ", 1.20 ,6.7,1.85,0
Night at the Museum: Battle of the Smithsonian,2009,105,189,130272,54039,2,209," $177,243,721 "," $150,000,000 ", 1.18 ,5.9,2.35,
X-Men Origins: Wolverine,2009,119,151,361924,40054,0,641," $179,883,016 "," $150,000,000 ", 1.20 ,6.7,2.35,0
The Matrix Revolutions,2003,129,0,364948,1062,0,2121," $139,259,759 "," $150,000,000 ", 0.93 ,6.7,2.35,
Frozen,2013,102,69,421658,2582,0,904," $400,736,600 "," $150,000,000 ", 2.67 ,7.6,2.24,58000
The Matrix Reloaded,2003,138,0,421818,534,0,2789," $281,492,479 "," $150,000,000 ", 1.88 ,7.2,2.35,
Thor: The Dark World,2013,112,230,414070,59803,3,532," $206,360,018 "," $170,000,000 ", 1.21 ,7.1,2.35,63000
Mad Max: Fury Road,2015,120,750,552503,40025,0,1588," $153,629,485 "," $150,000,000 ", 1.02 ,8.1,2.35,
Angels & Demons,2009,146,2000,207839,16948,2,435," $133,375,846 "," $150,000,000 ", 0.89 ,6.7,2.35,0
Thor,2011,115,0,536314,60059,1,738," $181,015,141 "," $150,000,000 ", 1.21 ,7,2.35,
Bolt,2008,96,59,146766,20007,0,178," $114,053,579 "," $150,000,000 ", 0.76 ,6.9,1.85,0
G-Force,2009,88,12,33042,2217,0,90," $119,420,252 "," $150,000,000 ", 0.80 ,5.1,2.35,
Wrath of the Titans,2012,99,473,152826,16184,0,253," $83,640,426 "," $150,000,000 ", 0.56 ,5.8,1.85,19000
Dark Shadows,2012,113,13000,199039,80849,7,479," $79,711,678 "," $100,000,000 ", 0.80 ,6.2,1.85,
Mission: Impossible - Rogue Nation,2015,131,188,232187,21840,0,440," $195,000,874 "," $150,000,000 ", 1.30 ,7.4,2.35,47000
The Wolfman,2010,119,394,89442,13071,0,432," $61,937,495 "," $150,000,000 ", 0.41 ,5.8,1.85,
The Legend of Tarzan,2016,110,282,42372,21175,2,239," $124,051,759 "," $180,000,000 ", 0.69 ,6.6,2.35,29000
Bee Movie,2007,91,58,105902,6576,0,206," $126,597,121 "," $150,000,000 ", 0.84 ,6.2,1.85,
Kung Fu Panda 2,2011,90,90,182718,21015,0,209," $165,230,261 "," $150,000,000 ", 1.10 ,7.3,2.35,2000
The Last Airbender,2010,103,0,118951,2857,0,1382," $131,564,731 "," $150,000,000 ", 0.88 ,4.2,2.35,
Mission: Impossible III,2006,124,14000,256695,34817,0,871," $133,382,309 "," $150,000,000 ", 0.89 ,6.9,2.35,0
White House Down,2013,131,776,164238,18204,2,434," $73,103,784 "," $150,000,000 ", 0.49 ,6.4,2.35,
Mars Needs Moms,2011,88,25,17590,2652,0,112," $21,379,315 "," $150,000,000 ", 0.14 ,5.4,2.35,0
Flushed Away,2006,85,42,85086,35161,0,122," $64,459,316 "," $149,000,000 ", 0.43 ,6.7,1.85,
Pan,2015,111,456,39956,21393,4,186," $34,964,818 "," $150,000,000 ", 0.23 ,5.8,2.35,24000
Mr. Peabody & Sherman,2014,92,50,47900,5810,2,130," $111,505,642 "," $145,000,000 ", 0.77 ,6.9,1.85,
Troy,2004,196,249,381672,17944,2,1694," $133,228,348 "," $175,000,000 ", 0.76 ,7.2,2.35,0
Madagascar 3: Europe's Most Wanted,2012,93,35,119213,2444,0,154," $216,366,733 "," $145,000,000 ", 1.49 ,6.9,1.85,
Die Another Day,2002,133,93,169914,2538,0,1185," $160,201,106 "," $142,000,000 ", 1.13 ,6.1,2.35,0
Ghostbusters,2016,116,176,69757,2097,4,1211," $118,099,659 "," $144,000,000 ", 0.82 ,5.5,2.35,
Armageddon,1998,153,0,322395,26029,0,1171," $201,573,391 "," $140,000,000 ", 1.44 ,6.6,2.35,11000
Men in Black II,2002,88,188,270207,14823,2,606," $190,418,803 "," $140,000,000 ", 1.36 ,6.1,1.85,
Beowulf,2007,115,0,142440,31523,1,505," $82,161,969 "," $150,000,000 ", 0.55 ,6.3,2.35,3000
Kung Fu Panda 3,2016,95,5,64322,36095,0,145," $143,523,463 "," $145,000,000 ", 0.99 ,7.2,2.35,
Mission: Impossible - Ghost Protocol,2011,133,663,365104,21768,3,512," $209,364,921 "," $145,000,000 ", 1.44 ,7.4,2.35,35000
Rise of the Guardians,2012,97,52,123553,20645,0,174," $103,400,692 "," $145,000,000 ", 0.71 ,7.3,1.85,
Fun with Dick and Jane,2005,90,23,110788,1997,1,258," $110,332,737 "," $100,000,000 ", 1.10 ,6.1,2.35,2000
The Last Samurai,2003,154,380,317166,11945,1,928," $111,110,575 "," $140,000,000 ", 0.79 ,7.7,2.35,
Exodus: Gods and Kings,2014,150,0,128682,26490,0,657," $65,007,045 "," $140,000,000 ", 0.46 ,6.1,2.35,51000
Star Trek,2009,127,14000,504419,39284,0,1559," $257,704,099 "," $150,000,000 ", 1.72 ,8,2.35,
Spider-Man,2002,121,0,544665,40484,0,2012," $403,706,375 "," $139,000,000 ", 2.90 ,7.3,1.85,5000
How to Train Your Dragon 2,2014,102,255,221128,23378,5,343," $176,997,107 "," $145,000,000 ", 1.22 ,7.9,2.35,
Gods of Egypt,2016,126,295,51892,19769,4,273," $31,141,074 "," $140,000,000 ", 0.22 ,5.5,2.35,24000
Stealth,2005,121,357,45455,2705,0,388," $31,704,416 "," $135,000,000 ", 0.23 ,5,2.35,
Watchmen,2009,215,0,392474,2530,1,1229," $107,503,316 "," $130,000,000 ", 0.83 ,7.7,2.35,18000
Lethal Weapon 4,1998,127,503,127497,6171,2,287," $129,734,803 "," $140,000,000 ", 0.93 ,6.6,2.35,
Hulk,2003,138,0,212106,1814,0,1445," $132,122,995 "," $137,000,000 ", 0.96 ,5.7,1.85,0
G.I. Joe: Retaliation,2013,122,209,146352,31958,6,288," $122,512,052 "," $130,000,000 ", 0.94 ,5.8,2.35,
Sahara,2005,124,42,77673,13073,3,463," $68,642,452 "," $130,000,000 ", 0.53 ,6,2.35,0
Final Fantasy: The Spirits Within,2001,106,6,72259,15015,1,788," $32,131,830 "," $137,000,000 ", 0.23 ,6.4,1.85,
Captain America: The First Avenger,2011,124,394,508818,19761,0,679," $176,636,816 "," $140,000,000 ", 1.26 ,6.9,2.35,46000
The World Is Not Enough,1999,128,150,157519,2037,2,683," $126,930,660 "," $135,000,000 ", 0.94 ,6.4,2.35,
Master and Commander: The Far Side of the World,2003,138,608,168207,1205,1,684," $93,926,386 "," $150,000,000 ", 0.63 ,7.4,2.35,0
The Twilight Saga: Breaking Dawn - Part 2,2012,115,386,185394,59177,3,329," $292,298,923 "," $120,000,000 ", 2.44 ,5.5,2.35,
Happy Feet 2,2011,100,750,32399,62644,0,79," $63,992,328 "," $135,000,000 ", 0.47 ,5.9,2.35,0
The Incredible Hulk,2008,135,255,326286,5811,0,643," $134,518,390 "," $150,000,000 ", 0.90 ,6.8,2.35,
The BFG,2016,117,14000,12572,1950,0,106," $52,792,307 "," $140,000,000 ", 0.38 ,6.8,2.35,27000
The Revenant,2015,156,0,406020,57108,0,1188," $183,635,922 "," $135,000,000 ", 1.36 ,8.1,2.35,
Turbo,2013,96,13,62424,17416,0,90," $83,024,900 "," $135,000,000 ", 0.61 ,6.5,2.35,13000
Rango,2011,107,563,183208,43291,0,337," $123,207,194 "," $135,000,000 ", 0.91 ,7.2,2.35,
Penguins of Madagascar,2014,92,35,60230,19963,0,118," $83,348,920 "," $132,000,000 ", 0.63 ,6.7,1.85,11000
The Bourne Ultimatum,2007,115,521,491077,17369,0,820," $227,137,090 "," $110,000,000 ", 2.06 ,8.1,2.35,
Kung Fu Panda,2008,92,54,307029,12754,0,360," $215,395,021 "," $130,000,000 ", 1.66 ,7.6,2.35,6000
Ant-Man,2015,117,235,313866,5730,6,549," $180,191,634 "," $130,000,000 ", 1.39 ,7.4,1.85,
The Hunger Games: Catching Fire,2013,146,508,498397,49355,1,706," $424,645,577 "," $130,000,000 ", 3.27 ,7.6,2.35,82000
The Twilight Saga: Breaking Dawn - Part 2,2012,115,386,185394,59177,3,329," $292,298,923 "," $120,000,000 ", 2.44 ,5.5,2.35,
Home,2015,94,12,70121,17883,0,214," $177,343,675 "," $135,000,000 ", 1.31 ,6.7,1.85,26000
War of the Worlds,2005,116,14000,334345,12758,0,2741," $234,277,056 "," $132,000,000 ", 1.77 ,6.5,1.85,
Bad Boys II,2003,147,0,178126,12954,1,511," $138,396,624 "," $130,000,000 ", 1.06 ,6.6,2.35,0
Puss in Boots,2011,90,50,114287,5046,0,137," $149,234,747 "," $130,000,000 ", 1.15 ,6.7,2.35,
Salt,2010,101,176,245621,12406,1,514," $118,311,368 "," $110,000,000 ", 1.08 ,6.4,2.35,23000
Noah,2014,138,0,200022,32355,2,1240," $101,160,529 "," $125,000,000 ", 0.81 ,5.8,1.85,
The Adventures of Tintin,2011,107,14000,177383,4631,1,447," $77,564,037 "," $135,000,000 ", 0.57 ,7.4,2.35,44000
Harry Potter and the Prisoner of Azkaban,2004,142,0,382255,33284,3,1504," $249,358,727 "," $130,000,000 ", 1.92 ,7.8,2.35,
Australia,2008,165,1000,102338,921,0,450," $49,551,662 "," $130,000,000 ", 0.38 ,6.6,2.35,0
After Earth,2013,100,0,158720,14168,0,744," $60,522,097 "," $130,000,000 ", 0.47 ,4.9,2.35,
Dinosaur,2000,82,0,38438,2945,1,241," $137,748,063 "," $127,500,000 ", 1.08 ,6.5,1.85,0
Night at the Museum: Secret of the Tomb,2014,98,189,67223,53587,7,126," $113,733,726 "," $127,000,000 ", 0.90 ,6.2,1.85,
Megamind,2010,95,96,172754,46120,3,187," $148,337,537 "," $130,000,000 ", 1.14 ,7.3,2.35,13000
Harry Potter and the Sorcerer's Stone,2001,159,0,444683,13191,4,1571," $317,557,891 "," $125,000,000 ", 2.54 ,7.5,2.35,
R.I.P.D.,2013,96,124,91640,31549,2,210," $33,592,415 "," $130,000,000 ", 0.26 ,5.6,2.35,2000
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,563,809474,48184,3,2113," $305,388,685 "," $140,000,000 ", 2.18 ,8.1,2.35,
The Hunger Games: Mockingjay - Part 1,2014,123,508,305008,81385,1,591," $337,103,873 "," $125,000,000 ", 2.70 ,6.7,2.35,52000
The Da Vinci Code,2006,174,2000,314253,16008,2,1966," $217,536,138 "," $125,000,000 ", 1.74 ,6.6,2.35,
Rio 2,2014,101,107,58498,1031,0,99," $131,536,019 "," $103,000,000 ", 1.28 ,6.4,2.35,0
X-Men 2,2003,134,0,405973,20952,4,1055," $214,948,780 "," $110,000,000 ", 1.95 ,7.5,2.35,
Fast Five,2011,132,681,284792,55345,3,366," $209,805,005 "," $125,000,000 ", 1.68 ,7.3,2.35,54000
Sherlock Holmes: A Game of Shadows,2011,129,0,338635,22403,2,412," $186,830,669 "," $125,000,000 ", 1.49 ,7.5,2.35,
Clash of the Titans,2010,106,255,229679,18003,0,637," $163,192,114 "," $125,000,000 ", 1.31 ,5.8,2.35,15000
Total Recall,1990,113,719,240241,1441,0,391," $119,412,921 "," $65,000,000 ", 1.84 ,7.5,1.85,
The 13th Warrior,1999,102,323,101411,1815,1,546," $32,694,788 "," $85,000,000 ", 0.38 ,6.6,2.35,0
The Bourne Legacy,2012,135,209,229823,12175,0,504," $113,165,635 "," $125,000,000 ", 0.91 ,6.7,2.35,
Batman & Robin,1997,125,541,189855,2699,3,1018," $107,285,004 "," $125,000,000 ", 0.86 ,3.7,1.85,0
How the Grinch Stole Christmas,2000,110,2000,141414,4146,0,482," $260,031,035 "," $123,000,000 ", 2.11 ,6,1.85,
The Day After Tomorrow,2004,124,776,333248,20553,0,1159," $186,739,919 "," $125,000,000 ", 1.49 ,6.4,2.35,19000
Mission: Impossible II,2000,123,610,242188,11930,0,1426," $215,397,307 "," $125,000,000 ", 1.72 ,6.1,2.35,
The Perfect Storm,2000,130,249,133076,2684,0,779," $182,618,434 "," $140,000,000 ", 1.30 ,6.4,2.35,0
Fantastic 4: Rise of the Silver Surfer,2007,92,167,213275,15302,3,436," $131,920,333 "," $130,000,000 ", 1.01 ,5.6,2.35,
Life of Pi,2012,127,0,440084,2121,0,755," $124,976,634 "," $120,000,000 ", 1.04 ,8,1.85,122000
Ghost Rider,2007,123,160,182661,14017,1,681," $115,802,596 "," $110,000,000 ", 1.05 ,5.2,2.35,
Jason Bourne,2016,123,521,40123,13752,0,297," $108,521,835 "," $120,000,000 ", 0.90 ,7.1,2.35,31000
Charlie's Angels: Full Throttle,2003,107,368,100821,4046,0,554," $100,685,880 "," $120,000,000 ", 0.84 ,4.8,2.35,
Prometheus,2012,124,0,456260,24098,0,2326," $126,464,904 "," $130,000,000 ", 0.97 ,7,2.35,97000
Stuart Little 2,2002,77,50,36471,2682,0,69," $64,736,114 "," $120,000,000 ", 0.54 ,5.4,1.85,
Elysium,2013,109,662,338087,17689,0,814," $93,050,117 "," $115,000,000 ", 0.81 ,6.6,2.35,61000
