movie title,Year,color,duration,genre1,genre2,genre3,genre4,genre5,genre6,genre7,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,num_user_for_reviews,language,country,content_rating,gross,budget,Gross_to_Budget_Ratio,IMDB Score,aspect_ratio, Facebook Likes 
World War Z,2013,Color,123,Action,Adventure,Horror,Sci0Fi,Thriller,,,395,17000,11000,1000,465019,32392,0,chaos,disease,infection,pandemic,zombie,995,English,USA,PG013,"$202,351,611 ","$190,000,000 ",1.07,7,2.35," 94,000 "
X0Men: Days of Future Past,2014,Color,149,Action,Adventure,Fantasy,Sci0Fi,Thriller,,,0,34000,22000,20000,514125,91434,7,dystopia,super strength,supernatural power,time paradox,time travel,752,English,USA,PG013,"$233,914,986 ","$200,000,000 ",1.17,8,2.35," 129,000 "
Star Trek Into Darkness,2013,Color,132,Action,Adventure,Sci0Fi,,,,,14000,19000,981,928,395573,21411,0,admiral,captain,manhunt,mission,space,1171,English,USA,PG013,"$228,756,232 ","$190,000,000 ",1.2,7.8,2.35," 82,000 "
Jack the Giant Slayer,2013,Color,114,Adventure,Fantasy,,,,,,0,979,557,140,106416,1766,1,bean,giant,king,no opening credits,princess,205,English,USA,PG013,"$65,171,860 ","$195,000,000 ",0.33,6.3,2.35," 92,000 "
The Great Gatsby,2013,Color,143,Drama,Romance,,,,,,1000,29000,509,77,362912,29770,4,ingratitude,mansion,party,title appears in writing,tragedy,753,English,Australia,PG013,"$144,812,796 ","$105,000,000 ",1.38,7.3,2.35," 22,000 "
Prince of Persia: The Sands of Time,2010,Color,116,Action,Adventure,Fantasy,Romance,,,,179,15000,567,236,222403,16149,2,alamut,dagger,king,persia,princess,453,English,USA,PG013,"$90,755,643 ","$200,000,000 ",0.45,6.6,2.35," 115,000 "
Pacific Rim,2013,Color,131,Action,Adventure,Sci0Fi,,,,,0,16000,968,919,381148,19166,0,giant monster,kaiju,pilot,portal,robot,1106,English,USA,PG013,"$101,785,482 ","$190,000,000 ",0.54,7,1.85," 23,000 "
Transformers: Dark of the Moon,2011,Color,154,Action,Adventure,Sci0Fi,,,,,0,894,829,581,326180,2593,2,autobot,decepticon,job interview,moon,spacecraft,899,English,USA,PG013,"$352,358,779 ","$195,000,000 ",1.81,6.3,2.35," 83,000 "
Indiana Jones and the Kingdom of the Crystal Skull,2008,Color,122,Action,Adventure,Fantasy,,,,,14000,11000,1000,1000,333847,14959,2,cult figure,femme fatale,indiana jones,unsubtitled foreign language,year 1957,2054,English,USA,PG013,"$317,011,114 ","$185,000,000 ",1.71,6.2,2.35," 46,000 "
Brave,2012,Color,93,Adventure,Animation,Comedy,Family,Fantasy,,,56,2000,1000,838,273556,5005,0,archery,coming of age,female warrior,princess,rebellious daughter,428,English,USA,PG,"$237,282,182 ","$185,000,000 ",1.28,7.2,2.35," 5,000 "
Star Trek Beyond,2016,Color,122,Action,Adventure,Sci0Fi,Thriller,,,,681,998,119,105,53607,1327,4,hatred,sequel,space opera,star trek,third part,432,English,USA,PG013,"$130,468,626 ","$185,000,000 ",0.71,7.5,2.35," 20,000 "
WALL·E,2008,Color,98,Adventure,Animation,Family,Sci0Fi,,,,475,1000,729,522,718837,2975,0,earth,obesity,plant,robot,soil,1043,English,USA,G,"$223,806,889 ","$180,000,000 ",1.24,8.4,2.35," 39,000 "
Rush Hour 3,2007,Color,91,Action,Comedy,Crime,Thriller,,,,420,268,268,173,121084,1125,2,ambassador,assassination,chinese,french,triad,221,English,USA,PG013,"$140,080,850 ","$140,000,000 ",1,6.2,2.35," 30,000 "
2012,2009,Color,158,Action,Adventure,Sci0Fi,,,,,776,1000,468,310,283418,2144,0,ark,catastrophe,geologist,president,writer,1055,English,USA,PG013,"$166,112,167 ","$200,000,000 ",0.83,5.8,2.35," 16,000 "
A Christmas Carol,2009,Color,96,Animation,Drama,Family,Fantasy,,,,0,18000,14000,10000,72809,48878,0,charles dickens,christmas,christmas eve,ghost,scrooge,249,English,USA,PG,"$137,850,096 ","$200,000,000 ",0.69,6.8,2.35, -   
Jupiter Ascending,2015,Color,127,Action,Adventure,Sci0Fi,,,,,0,17000,15000,13000,139593,47334,1,box office flop,critically bashed,planet earth,space opera,woman in bra and panties,720,English,USA,PG013,"$47,375,327 ","$176,000,000 ",0.27,5.4,2.35," 13,000 "
The Legend of Tarzan,2016,Color,110,Action,Adventure,Drama,Romance,,,,282,11000,10000,103,42372,21175,2,africa,capture,jungle,male objectification,tarzan,239,English,USA,PG013,"$124,051,759 ","$180,000,000 ",0.69,6.6,2.35, -   
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Color,150,Adventure,Family,Fantasy,,,,,80,1000,190,82,286506,1317,5,hide and seek,lion,magic,professor,snow,1463,English,USA,PG,"$291,709,845 ","$180,000,000 ",1.62,6.9,2.35," 44,000 "
X0Men: Apocalypse,2016,Color,144,Action,Adventure,Sci0Fi,,,,,0,34000,13000,1000,148379,49684,6,mutant,superhero,superhero team,x men,year 1983,622,English,USA,PG013,"$154,985,087 ","$178,000,000 ",0.87,7.3,2.35," 29,000 "
The Dark Knight,2008,Color,152,Action,Crime,Drama,Thriller,,,,22000,23000,13000,11000,1676169,57802,0,based on comic book,dc comics,psychopath,star died before release,urban setting,4667,English,USA,PG013,"$533,316,061 ","$185,000,000 ",2.88,9,2.35, -   
Up,2009,Color,96,Adventure,Animation,Comedy,Family,,,,0,1000,848,262,665575,2635,1,balloon,house,promise,retirement,skeleton,704,English,USA,PG,"$292,979,556 ","$175,000,000 ",1.67,8.3,1.85," 54,000 "
Monsters vs. Aliens,2009,Color,94,Action,Adventure,Animation,Comedy,Family,Sci0Fi,,11,1000,973,459,114553,2579,2,alien,alien invasion,alien space craft,giant,giantess,187,English,USA,PG,"$198,332,128 ","$175,000,000 ",1.13,6.5,2.35," 37,000 "
Iron Man,2008,Color,126,Action,Adventure,Sci0Fi,,,,,4000,21000,12000,4000,696338,39252,3,afghanistan,billionaire,inventor,playboy,u.s. air force,1055,English,USA,PG013,"$318,298,180 ","$140,000,000 ",2.27,7.9,2.35," 27,000 "
Hugo,2011,Color,126,Adventure,Drama,Family,Mystery,,,,17000,17000,16000,1000,245333,36017,0,automaton,mechanical,railway station,steampunk,train,678,English,USA,PG,"$73,820,094 ","$170,000,000 ",0.43,7.5,1.85, -   
Wild Wild West,1999,Color,106,Action,Comedy,Sci0Fi,Western,,,,188,10000,4000,582,129601,15870,2,buddy movie,general,inventor,steampunk,utah,648,English,USA,PG013,"$113,745,408 ","$170,000,000 ",0.67,4.8,1.85," 10,000 "
The Mummy: Tomb of the Dragon Emperor,2008,Color,112,Action,Adventure,Fantasy,Horror,Thriller,,,357,5000,3000,595,117927,9131,2,army,china,emperor,mummy,shangri la,501,English,USA,PG013,"$102,176,165 ","$145,000,000 ",0.7,5.2,2.35," 42,000 "
Suicide Squad,2016,Color,123,Action,Adventure,Comedy,Sci0Fi,,,,452,10000,336,329,118992,11287,8,based on comic book,critically bashed,father daughter relationship,reference to superman,super villain,971,English,USA,PG013,"$161,087,183 ","$175,000,000 ",0.92,6.9,2.35, -   
Evan Almighty,2007,Color,96,Comedy,Family,Fantasy,,,,,293,87000,11000,7000,115099,108016,0,ark,change,congressman,depiction of god,flood,257,English,USA,PG,"$100,289,690 ","$175,000,000 ",0.57,5.4,2.35, -   
Edge of Tomorrow,2014,Color,113,Action,Adventure,Sci0Fi,,,,,218,10000,854,509,431620,12652,1,alien,combat,dying repeatedly,end of the world,time loop,741,English,USA,PG013,"$100,189,501 ","$178,000,000 ",0.56,7.9,2.35," 80,000 "
Waterworld,1995,Color,176,Action,Adventure,Sci0Fi,Thriller,,,,58,711,60,60,144337,1004,0,future,sail,sea,smoker,water,309,English,USA,PG013,"$88,246,220 ","$175,000,000 ",0.5,6.1,1.85," 2,000 "
G.I. Joe: The Rise of Cobra,2009,Color,118,Action,Adventure,Sci0Fi,Thriller,,,,208,23000,2000,570,174578,26683,4,cobra,gi joe,snake,train,warhead,534,English,USA,PG013,"$150,167,630 ","$175,000,000 ",0.86,5.8,2.35," 77,000 "
Inside Out,2015,Color,95,Adventure,Animation,Comedy,Drama,Family,Fantasy,,0,1000,767,384,345198,2944,1,anger,joy,memory,running away,sadness,773,English,USA,PG,"$356,454,367 ","$175,000,000 ",2.04,8.3,1.85, -   
The Jungle Book,2016,Color,106,Adventure,Drama,Family,Fantasy,,,,4000,19000,13000,591,106072,32921,0,fire,jungle,remake,tiger,wolf,398,English,UK,PG,"$362,645,141 ","$175,000,000 ",2.07,7.8,1.85, -   
Iron Man 2,2010,Color,124,Action,Adventure,Sci0Fi,,,,,4000,21000,19000,4000,522371,48638,4,hammer,military,monaco,revenge,tony stark,723,English,USA,PG013,"$312,057,433 ","$200,000,000 ",1.56,7,2.35," 118,000 "
Snow White and the Huntsman,2012,Color,132,Action,Adventure,Drama,Fantasy,,,,274,26000,17000,11000,228554,72881,0,evil queen,fairy tale,magic,queen,snow white,710,English,USA,PG013,"$155,111,815 ","$170,000,000 ",0.91,6.1,2.35," 65,000 "
Maleficent,2014,Color,97,Action,Adventure,Family,Fantasy,Romance,,,171,11000,2000,846,252257,15516,2,curse,dark fantasy,fairy,king,kingdom,634,English,USA,PG,"$241,407,328 ","$180,000,000 ",1.34,7,2.35," 18,000 "
Dawn of the Planet of the Apes,2014,Color,130,Action,Adventure,Drama,Sci0Fi,,,,198,10000,2000,884,317542,14363,0,ape,dam,leader,post apocalypse,sequel,620,English,USA,PG013,"$208,543,795 ","$170,000,000 ",1.23,7.6,1.85," 53,000 "
47 Ronin,2013,Color,128,Action,Adventure,Drama,Fantasy,,,,47,18000,1000,982,116994,20965,2,box office flop,ronin,samurai,shogun,tournament,324,English,USA,PG013,"$38,297,305 ","$175,000,000 ",0.22,6.3,2.35," 89,000 "
Captain America: The Winter Soldier,2014,Color,136,Action,Adventure,Sci0Fi,,,,,94,19000,11000,2000,496749,36188,1,conspiracy,heroism,megalomaniac,super soldier,world domination,742,English,USA,PG013,"$259,746,958 ","$170,000,000 ",1.53,7.8,2.35," 45,000 "
Shrek Forever After,2010,Color,93,Adventure,Animation,Comedy,Family,Fantasy,,,31,4000,225,213,138661,4628,2,alternate world,fairy tale parody,female warrior,ogre,true love,173,English,USA,PG,"$238,371,987 ","$165,000,000 ",1.44,6.4,2.35, 677 
Tomorrowland,2015,Color,130,Action,Adventure,Family,Mystery,Sci0Fi,,,663,2000,638,604,128306,5046,2,boy genius,futuristic city,inventor,teenage girl,time travel,497,English,USA,PG,"$93,417,865 ","$190,000,000 ",0.49,6.5,2.2," 35,000 "
Big Hero 6,2014,Color,102,Action,Adventure,Animation,Comedy,Drama,Family,Sci0Fi,38,756,719,562,279093,2963,0,high tech,martial arts,masked man,robot,superhero,433,English,USA,PG,"$222,487,711 ","$165,000,000 ",1.35,7.9,2.39," 55,000 "
Wreck0It Ralph,2012,Color,101,Adventure,Animation,Comedy,Family,Sci0Fi,,,66,975,931,833,272534,4451,1,arcade,candy,glitch,king,medal,345,English,USA,PG,"$189,412,677 ","$165,000,000 ",1.15,7.8,2.35, -   
The Polar Express,2004,Color,100,Adventure,Animation,Family,Fantasy,,,,0,15000,726,267,120798,16264,0,boy,christmas,christmas eve,north pole,train,444,English,USA,G,"$665,426 ","$165,000,000 ",0,6.6,2.35," 37,000 "
Independence Day: Resurgence,2016,Color,120,Action,Adventure,Sci0Fi,,,,,776,890,812,535,58137,3233,0,alien,battle,defense,independence day,mothership,520,English,USA,PG013,"$102,315,545 ","$165,000,000 ",0.62,5.5,2.35," 41,000 "
How to Train Your Dragon,2010,Color,98,Adventure,Animation,Family,Fantasy,,,,255,18000,953,759,485430,20453,0,dragon,island,training,viking,village,492,English,USA,PG,"$217,387,997 ","$165,000,000 ",1.32,8.2,2.35," 40,000 "
Terminator 3: Rise of the Machines,2003,Color,109,Action,Sci0Fi,,,,,,84,648,284,191,305340,1769,0,drifter,exploding truck,future,machine,skynet,1676,English,USA,R,"$150,350,192 ","$200,000,000 ",0.75,6.4,2.35," 10,000 "
Guardians of the Galaxy,2014,Color,121,Action,Adventure,Sci0Fi,,,,,571,14000,14000,3000,682155,32438,3,bounty hunter,outer space,raccoon,talking animal,tree,1097,English,USA,PG013,"$333,130,696 ","$170,000,000 ",1.96,8.1,2.35," 67,000 "
Interstellar,2014,Color,169,Adventure,Drama,Sci0Fi,,,,,22000,11000,11000,6000,928227,31488,1,black hole,father daughter relationship,saving the world,space travel,wormhole,2725,English,USA,PG013,"$187,991,439 ","$165,000,000 ",1.14,8.6,2.35," 33,000 "
Inception,2010,Color,148,Action,Adventure,Sci0Fi,Thriller,,,,22000,29000,27000,23000,1468200,81115,0,ambiguous ending,corporate espionage,dream,subconscious,thief,2803,English,USA,PG013,"$292,568,851 ","$160,000,000 ",1.83,8.8,2.35, -   
The Hobbit: An Unexpected Journey,2012,Color,182,Adventure,Fantasy,,,,,,0,5000,972,773,637246,9152,,dragon,dwarf,hobbit,orc,wizard,1367,English,USA,PG013,"$303,001,229 ","$180,000,000 ",1.68,7.9,2.35," 96,000 "
The Fast and the Furious,2001,Color,106,Action,Crime,Thriller,,,,,357,23000,14000,4000,272223,45327,2,eighteen wheeler,illegal street racing,truck,trucker,undercover cop,988,English,USA,PG013,"$144,512,310 ","$38,000,000 ",3.8,6.7,2.35," 349,000 "
The Curious Case of Benjamin Button,2008,Color,166,Drama,Fantasy,Romance,,,,,21000,11000,1000,919,459346,13333,2,deformed baby,diary,lingerie slip,older man younger woman relationship,premature aging,822,English,USA,PG013,"$127,490,802 ","$150,000,000 ",0.85,7.8,2.35," 175,000 "
X0Men: First Class,2011,Color,132,Action,Adventure,Sci0Fi,,,,,905,34000,13000,1000,518537,50983,3,cia,cia agent,mutant,nuclear war,professor,698,English,USA,PG013,"$146,405,371 ","$160,000,000 ",0.92,7.8,2.35, -   
The Hunger Games: Mockingjay 0 Part 2,2015,Color,137,Adventure,Sci0Fi,,,,,,508,34000,22000,14000,166137,81385,1,death of sister,dystopia,execution,rebellion,revolution,383,English,USA,PG013,"$281,666,058 ","$160,000,000 ",1.76,6.6,2.35," 166,000 "
The Sorcerer's Apprentice,2010,Color,109,Action,Adventure,Family,Fantasy,,,,226,12000,418,370,124185,13388,0,chosen one,enchanted object,love,spell,training,238,English,USA,PG,"$63,143,812 ","$150,000,000 ",0.42,6.1,2.35," 14,000 "
Poseidon,2006,Color,98,Action,Adventure,Drama,Thriller,,,,249,87000,2000,702,82380,92456,0,cruise,escape,ocean,passenger,water,629,English,USA,PG013,"$60,655,503 ","$160,000,000 ",0.38,5.6,2.35," 23,000 "
Alice Through the Looking Glass,2016,Color,113,Adventure,Family,Fantasy,,,,,33,40000,25000,11000,21352,80806,1,clock,dark fantasy,mad hatter,queen,sequel,131,English,USA,PG,"$76,846,624 ","$170,000,000 ",0.45,6.4,1.85," 54,000 "
Shrek the Third,2007,Color,93,Adventure,Animation,Comedy,Family,Fantasy,,,50,3000,795,692,211971,4705,2,disney spoof,fairy tale,prince,princess,tough guy,326,English,USA,PG,"$320,706,665 ","$160,000,000 ",2,6.1,1.85," 38,000 "
Warcraft,2016,Color,123,Action,Adventure,Fantasy,,,,,0,3000,716,648,111609,5505,0,based on video game,fictional language,fictional war,orc,sword and sorcery,781,English,USA,PG013,"$46,978,995 ","$160,000,000 ",0.29,7.3,2.35," 11,000 "
Terminator Genisys,2015,Color,126,Action,Adventure,Sci0Fi,,,,,230,24000,10000,2000,188457,38873,2,alternate timeline,cyborg,future,robot,time machine,867,English,USA,PG013,"$89,732,035 ","$155,000,000 ",0.58,6.6,2.35, -   
