movie title,color,genre1,genre2,genre3,genre4,genre5,genre6,genre7,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,language,country,content_rating,IMDB Score
Evan Almighty,Color,Comedy,Family,Fantasy,,,,,ark,change,congressman,depiction of god,flood,English,USA,PG,5.4
Edge of Tomorrow,Color,Action,Adventure,Sci0Fi,,,,,alien,combat,dying repeatedly,end of the world,time loop,English,USA,PG013,7.9
Waterworld,Color,Action,Adventure,Sci0Fi,Thriller,,,,future,sail,sea,smoker,water,English,USA,PG013,6.1
G.I. Joe: The Rise of Cobra,Color,Action,Adventure,Sci0Fi,Thriller,,,,cobra,gi joe,snake,train,warhead,English,USA,PG013,5.8
Inside Out,Color,Adventure,Animation,Comedy,Drama,Family,Fantasy,,anger,joy,memory,running away,sadness,English,USA,PG,8.3
The Jungle Book,Color,Adventure,Drama,Family,Fantasy,,,,fire,jungle,remake,tiger,wolf,English,UK,PG,7.8
Iron Man 2,Color,Action,Adventure,Sci0Fi,,,,,hammer,military,monaco,revenge,tony stark,English,USA,PG013,7
Snow White and the Huntsman,Color,Action,Adventure,Drama,Fantasy,,,,evil queen,fairy tale,magic,queen,snow white,English,USA,PG013,6.1
Maleficent,Color,Action,Adventure,Family,Fantasy,Romance,,,curse,dark fantasy,fairy,king,kingdom,English,USA,PG,7
Dawn of the Planet of the Apes,Color,Action,Adventure,Drama,Sci0Fi,,,,ape,dam,leader,post apocalypse,sequel,English,USA,PG013,7.6
47 Ronin,Color,Action,Adventure,Drama,Fantasy,,,,box office flop,ronin,samurai,shogun,tournament,English,USA,PG013,6.3
Captain America: The Winter Soldier,Color,Action,Adventure,Sci0Fi,,,,,conspiracy,heroism,megalomaniac,super soldier,world domination,English,USA,PG013,7.8
Shrek Forever After,Color,Adventure,Animation,Comedy,Family,Fantasy,,,alternate world,fairy tale parody,female warrior,ogre,true love,English,USA,PG,6.4
Tomorrowland,Color,Action,Adventure,Family,Mystery,Sci0Fi,,,boy genius,futuristic city,inventor,teenage girl,time travel,English,USA,PG,6.5
Big Hero 6,Color,Action,Adventure,Animation,Comedy,Drama,Family,Sci0Fi,high tech,martial arts,masked man,robot,superhero,English,USA,PG,7.9
Wreck0It Ralph,Color,Adventure,Animation,Comedy,Family,Sci0Fi,,,arcade,candy,glitch,king,medal,English,USA,PG,7.8
The Polar Express,Color,Adventure,Animation,Family,Fantasy,,,,boy,christmas,christmas eve,north pole,train,English,USA,G,6.6
Independence Day: Resurgence,Color,Action,Adventure,Sci0Fi,,,,,alien,battle,defense,independence day,mothership,English,USA,PG013,5.5
How to Train Your Dragon,Color,Adventure,Animation,Family,Fantasy,,,,dragon,island,training,viking,village,English,USA,PG,8.2
Terminator 3: Rise of the Machines,Color,Action,Sci0Fi,,,,,,drifter,exploding truck,future,machine,skynet,English,USA,R,6.4
Guardians of the Galaxy,Color,Action,Adventure,Sci0Fi,,,,,bounty hunter,outer space,raccoon,talking animal,tree,English,USA,PG013,8.1
Interstellar,Color,Adventure,Drama,Sci0Fi,,,,,black hole,father daughter relationship,saving the world,space travel,wormhole,English,USA,PG013,8.6
Inception,Color,Action,Adventure,Sci0Fi,Thriller,,,,ambiguous ending,corporate espionage,dream,subconscious,thief,English,USA,PG013,8.8
The Hobbit: An Unexpected Journey,Color,Adventure,Fantasy,,,,,,dragon,dwarf,hobbit,orc,wizard,English,USA,PG013,7.9
The Fast and the Furious,Color,Action,Crime,Thriller,,,,,eighteen wheeler,illegal street racing,truck,trucker,undercover cop,English,USA,PG013,6.7
The Curious Case of Benjamin Button,Color,Drama,Fantasy,Romance,,,,,deformed baby,diary,lingerie slip,older man younger woman relationship,premature aging,English,USA,PG013,7.8
X0Men: First Class,Color,Action,Adventure,Sci0Fi,,,,,cia,cia agent,mutant,nuclear war,professor,English,USA,PG013,7.8
The Hunger Games: Mockingjay 0 Part 2,Color,Adventure,Sci0Fi,,,,,,death of sister,dystopia,execution,rebellion,revolution,English,USA,PG013,6.6
The Sorcerer's Apprentice,Color,Action,Adventure,Family,Fantasy,,,,chosen one,enchanted object,love,spell,training,English,USA,PG,6.1
Poseidon,Color,Action,Adventure,Drama,Thriller,,,,cruise,escape,ocean,passenger,water,English,USA,PG013,5.6
Alice Through the Looking Glass,Color,Adventure,Family,Fantasy,,,,,clock,dark fantasy,mad hatter,queen,sequel,English,USA,PG,6.4
Shrek the Third,Color,Adventure,Animation,Comedy,Family,Fantasy,,,disney spoof,fairy tale,prince,princess,tough guy,English,USA,PG,6.1
Warcraft,Color,Action,Adventure,Fantasy,,,,,based on video game,fictional language,fictional war,orc,sword and sorcery,English,USA,PG013,7.3
Terminator Genisys,Color,Action,Adventure,Sci0Fi,,,,,alternate timeline,cyborg,future,robot,time machine,English,USA,PG013,6.6
The Chronicles of Narnia: The Voyage of the Dawn Treader,Color,Adventure,Family,Fantasy,,,,,dragon,king,mouse,quest,warrior,English,USA,PG,6.3
Pearl Harbor, Black and White,Action,Drama,History,Romance,War,,,air raid,black smoke,japanese military,japanese navy,sunday,English,USA,PG013,6.1
Transformers,Color,Action,Adventure,Sci0Fi,,,,,alien contact,autobot,decepticon,robot vs. robot,teenage hero,English,USA,PG013,7.1
Alexander,Color,Action,Adventure,Biography,Drama,History,Romance,War,ancient greece,conquest,greek,greek myth,king,English,Germany,R,5.5
Harry Potter and the Order of the Phoenix,Color,Adventure,Family,Fantasy,Mystery,,,,battle,magic,school,teacher,wizard,English,UK,PG013,7.5
Harry Potter and the Goblet of Fire,Color,Adventure,Family,Fantasy,Mystery,,,,fire,goblet,magic,tournament,wizard,English,UK,PG013,7.6
Hancock,Color,Action,Drama,,,,,,bully comeuppance,destruction,prison,superhero,tough girl,English,USA,PG013,6.4
I Am Legend,Color,Drama,Horror,Sci0Fi,,,,,new york city,pandemic,post apocalypse,survivalist,virus,English,USA,PG013,7.2
Charlie and the Chocolate Factory,Color,Adventure,Comedy,Family,Fantasy,,,,chocolate,diminution,miniaturization,physical flexability,ticket,English,USA,PG,6.7
Ratatouille,Color,Animation,Comedy,Family,Fantasy,,,,chef,food,french,rat,restaurant,English,USA,G,8
Batman Begins,Color,Action,Adventure,,,,,,armored car,gangster,gotham,mixed martial arts,social decay,English,USA,PG013,8.3
Madagascar: Escape 2 Africa,Color,Action,Adventure,Animation,Comedy,Family,,,africa,madagascar,new york city,sequel,zoo,English,USA,PG,6.7
Night at the Museum: Battle of the Smithsonian,Color,Adventure,Comedy,Family,Fantasy,,,,hdtv,motorcycle,museum,security guard,tyrannosaurus rex,English,USA,PG,5.9
X0Men Origins: Wolverine,Color,Action,Adventure,Fantasy,Sci0Fi,Thriller,,,army,civil war,claw fight,commando,wolverine the character,English,USA,PG013,6.7
The Matrix Revolutions,Color,Action,Sci0Fi,,,,,,battle,epic,fight,future,machine,English,Australia,R,6.7
Frozen,Color,Adventure,Animation,Comedy,Family,Fantasy,Musical,,magic,sister love,sister sister relationship,snow,snowman,English,USA,PG,7.6
The Matrix Reloaded,Color,Action,Sci0Fi,,,,,,car motorcycle chase,one against many,oracle,prophecy,stylized violence,English,USA,R,7.2
Thor: The Dark World,Color,Action,Adventure,Fantasy,,,,,arrest,portal,thor,warrior,weapon,English,USA,PG013,7.1
Mad Max: Fury Road,Color,Action,Adventure,Sci0Fi,Thriller,,,,australia,desert,escape,on the run,post apocalypse,English,Australia,R,8.1
Angels & Demons,Color,Mystery,Thriller,,,,,,conclave,illuminati,murder,reference to bernini,reference to raphael,English,USA,PG013,6.7
Thor,Color,Action,Adventure,Fantasy,,,,,battle,marvel cinematic universe,scientist,thor,throne,English,USA,PG013,7
Bolt,Color,Adventure,Animation,Comedy,Drama,Family,,,cat,dog,hamster,new york city,superpower,English,USA,PG,6.9
G0Force,Color,Action,Adventure,Animation,Comedy,Family,Fantasy,Sci0Fi,fbi director,guinea pig,household appliance,secret agent,talking mouse,English,USA,PG,5.1
Wrath of the Titans,Color,Action,Adventure,Fantasy,,,,,ares,hades,titan,underworld,zeus,English,USA,PG013,5.8
Dark Shadows,Color,Comedy,Fantasy,Horror,,,,,camera shot of feet,cartoon on tv,female stockinged feet,female stockinged soles,foot closeup,English,USA,PG013,6.2
Mission: Impossible 0 Rogue Nation,Color,Action,Adventure,Thriller,,,,,capture,computer hacker,mission,rogue agent,spy,English,China,PG013,7.4
The Wolfman,Color,Drama,Fantasy,Horror,Thriller,,,,asylum,death,full moon,transformation,werewolf,English,USA,R,5.8
The Legend of Tarzan,Color,Action,Adventure,Drama,Romance,,,,africa,capture,jungle,male objectification,tarzan,English,USA,PG013,6.6
Bee Movie,Color,Adventure,Animation,Comedy,Family,,,,bee,dream sequence,egg,scatological humor,squashed bug,English,USA,PG,6.2
Kung Fu Panda 2,Color,Action,Adventure,Animation,Comedy,Family,,,china,kung fu,panda,peacock,tigress,English,USA,PG,7.3
The Last Airbender,Color,Action,Adventure,Family,Fantasy,,,,avatar,fire,kingdom,tribe,water,English,USA,PG,4.2
Mission: Impossible III,Color,Action,Adventure,Thriller,,,,,arms dealer,fictional government agency,mission,rescue,vatican,English,USA,PG013,6.9
White House Down,Color,Action,Drama,Thriller,,,,,black u.s. president,president,secret service,tour,white house,English,USA,PG013,6.4
Mars Needs Moms,Color,Action,Adventure,Animation,Comedy,Family,Sci0Fi,,boy,martian,rescue,robot,sexism,English,USA,PG,5.4
Flushed Away,Color,Adventure,Animation,Comedy,Family,,,,boat,frog,rat,sewer,toad,English,UK,PG,6.7
Pan,Color,Adventure,Family,Fantasy,,,,,1940s,child hero,fantasy world,orphan,reference to peter pan,English,USA,PG,5.8
Mr. Peabody & Sherman,Color,Adventure,Animation,Comedy,Family,Sci0Fi,,,dog,father son relationship,inventor,talking dog,time travel,English,USA,PG,6.9
Troy,Color,Adventure,,,,,,,greek,mythology,prince,trojan,troy,English,USA,R,7.2
Madagascar 3: Europe's Most Wanted,Color,Adventure,Animation,Comedy,Family,,,,animal,circus,island name in title,lemur,penguin,English,USA,PG,6.9
Die Another Day, Black and White,Action,Adventure,Thriller,,,,,catfight,clinic,colonel,diamond,patricide,English,UK,PG013,6.1
Ghostbusters,Color,Action,Comedy,Fantasy,Sci0Fi,,,,ghost,ghostbuster,ghostbusters,male objectification,reboot,English,USA,PG013,5.5
Armageddon,Color,Action,Adventure,Sci0Fi,Thriller,,,,asteroid,astronaut,bomb,meteorite,outer space,English,USA,PG013,6.6
Men in Black II,Color,Action,Adventure,Comedy,Family,Fantasy,Mystery,Sci0Fi,alien,lingerie,lingerie model,m.i.b.,pug,English,USA,PG013,6.1
Beowulf,Color,Action,Adventure,Animation,Fantasy,,,,creature,demon,king,reward,warrior,English,USA,PG013,6.3
Kung Fu Panda 3,Color,Action,Adventure,Animation,Comedy,Family,,,china,kung fu,panda,pig,village,English,USA,PG,7.2
Mission: Impossible 0 Ghost Protocol,Color,Action,Adventure,Thriller,,,,,dubai,kremlin,race against time,russian,terrorist,English,USA,PG013,7.4
Rise of the Guardians,Color,Adventure,Animation,Family,Fantasy,,,,belief,box office hit,children,new york city,tooth,English,USA,PG,7.3
Fun with Dick and Jane,Color,Comedy,Crime,,,,,,animal abuse,ceo,heist,suburb,unemployment,English,USA,PG013,6.1
The Last Samurai,Color,Action,Drama,History,War,,,,captain,emperor,honor,japan,samurai,English,USA,R,7.7
Exodus: Gods and Kings,Color,Action,Adventure,Drama,,,,,egypt,exodus,moses,pharaoh,plague,English,UK,PG013,6.1
Star Trek,Color,Action,Adventure,Sci0Fi,,,,,box office hit,future,lifted by the throat,star trek,vulcan,English,USA,PG013,8
Spider0Man,Color,Action,Adventure,Fantasy,Romance,,,,evil,goblin,spider,spider man,superhero,English,USA,PG013,7.3
How to Train Your Dragon 2,Color,Action,Adventure,Animation,Comedy,Family,Fantasy,,dragon,father son relationship,husband wife relationship,mother son relationship,viking,English,USA,PG,7.9
Gods of Egypt,Color,Action,Adventure,Fantasy,,,,,ancient egypt,egypt,egyptian,egyptian god,egyptian goddess,English,USA,PG013,5.5
Stealth,Color,Action,Adventure,Sci0Fi,Thriller,,,,artificial intelligence,box office flop,fighter jet,navy,pilot,English,USA,PG013,5
Watchmen,Color,Action,Drama,Mystery,Sci0Fi,,,,conspiracy,cynicism,false promise of the american dream,male full frontal nudity,male nudity,English,USA,R,7.7
Lethal Weapon 4,Color,Action,Crime,Thriller,,,,,kung fu,lapd,martial arts,private investigator,triad,English,USA,R,6.6
Hulk,Color,Action,Sci0Fi,,,,,,1980s,c 130 hercules,monster,panzer,san francisco california,English,USA,PG013,5.7
G.I. Joe: Retaliation,Color,Action,Adventure,Sci0Fi,Thriller,,,,general,gi joe,martial arts,ninja,president,English,USA,PG013,5.8
Sahara,Color,Action,Adventure,Comedy,Thriller,,,,beach,civil war,desert,dictator,ship,English,UK,PG013,6
Final Fantasy: The Spirits Within,Color,Action,Adventure,Animation,Fantasy,Romance,Sci0Fi,,general,military,scientist,soldier,year 2065,English,USA,PG013,6.4
Captain America: The First Avenger,Color,Action,Adventure,Sci0Fi,,,,,arctic,captain america,scientist,tesseract,war bond,English,USA,PG013,6.9
The World Is Not Enough,Color,Action,Adventure,Thriller,,,,,british,oil,scientist,terrorist,tycoon,English,UK,PG013,6.4
Master and Commander: The Far Side of the World,Color,Action,Adventure,Drama,History,War,,,1800s,napoleonic wars,pursuit,royal navy,ship,English,USA,PG013,7.4
The Twilight Saga: Breaking Dawn 0 Part 2,Color,Adventure,Drama,Fantasy,Romance,,,,battle,friend,super strength,vampire,vision,English,USA,PG013,5.5
Happy Feet 2,Color,Animation,Comedy,Family,Musical,,,,3d,antarctica,krill,penguin,sequel,English,Australia,PG,5.9
The Incredible Hulk,Color,Action,Adventure,Sci0Fi,,,,,antidote,cure,hulk,marvel cinematic universe,opening action scene,English,USA,PG013,6.8
The BFG,Color,Adventure,Family,Fantasy,,,,,cannibal,evil brother,giant,london england,queen,English,UK,PG,6.8
The Revenant,Color,Adventure,Drama,Thriller,Western,,,,bear attack,cauterizing a wound,native american,revenge,survival,English,USA,R,8.1
Turbo,Color,Adventure,Animation,Comedy,Family,Sport,,,accident,freak accident,race,snail,underdog,English,USA,PG,6.5
Rango,Color,Adventure,Animation,Comedy,Family,Western,,,chameleon,lizard,sheriff,water,western town,English,USA,PG,7.2
Penguins of Madagascar,Color,Adventure,Animation,Comedy,Family,,,,little girl,park,spy,statue of liberty,television van,English,USA,PG,6.7
The Bourne Ultimatum,Color,Action,Mystery,Thriller,,,,,action hero,cia,dark past,flashback,memory,English,USA,PG013,8.1
Kung Fu Panda,Color,Action,Adventure,Animation,Comedy,Family,,,kung fu,kung fu master,master,panda,snow leopard,English,USA,PG,7.6
Ant0Man,Color,Action,Adventure,Comedy,Sci0Fi,,,,ant,chinatown san francisco,heist,sabotage,vault,English,USA,PG013,7.4
The Hunger Games: Catching Fire,Color,Adventure,Sci0Fi,Thriller,,,,,president,snow,television,tour,uprising,English,USA,PG013,7.6
The Twilight Saga: Breaking Dawn 0 Part 2,Color,Adventure,Drama,Fantasy,Romance,,,,battle,friend,super strength,vampire,vision,English,USA,PG013,5.5
Home,Color,Adventure,Animation,Comedy,Family,Fantasy,Sci0Fi,,alien friendship,alien invasion,australia,flying car,mother daughter relationship,English,USA,PG,6.7
War of the Worlds,Color,Adventure,Sci0Fi,Thriller,,,,,alien,fight,storm,survival,tripod,English,USA,PG013,6.5
Bad Boys II,Color,Action,Comedy,Crime,Thriller,,,,cuba,dea,drugs,money,undercover,English,USA,R,6.6
Puss in Boots,Color,Action,Adventure,Animation,Comedy,Family,Fantasy,,betrayal,egg,friend,goose,hero,English,USA,PG,6.7
Salt,Color,Action,Crime,Mystery,Thriller,,,,cia,on the run,russian,russian spy,strong female lead,English,USA,PG013,6.4
Noah,Color,Action,Adventure,Drama,,,,,ark,flood,noah's ark,water,wrath of god,English,USA,PG013,5.8
The Adventures of Tintin,Color,Action,Adventure,Family,Mystery,,,,captain,morocco,ship,tintin,treasure,English,USA,PG,7.4
Harry Potter and the Prisoner of Azkaban,Color,Adventure,Family,Fantasy,Mystery,,,,magic,muggle,serial killer,traitor,wizard,English,UK,PG,7.8
Australia,Color,Adventure,Drama,Romance,War,,,,australia,cattle,darwin,drover,japanese,English,Australia,PG013,6.6
After Earth,Color,Action,Adventure,Sci0Fi,,,,,box office flop,father son team,fear,race against time,real life father and son playing father and son,English,USA,PG013,4.9
Dinosaur,Color,Adventure,Animation,Family,Thriller,,,,egg,iguanodon,lemur,meteor,nesting grounds,English,USA,PG,6.5
Night at the Museum: Secret of the Tomb,Color,Adventure,Comedy,Family,Fantasy,,,,museum,museum of natural history manhattan new york city,night watchman,star died before release,tablet,English,USA,PG,6.2
Megamind,Color,Action,Animation,Comedy,Family,Sci0Fi,,,battle,city,planet,prison,superhero,English,USA,PG,7.3
Harry Potter and the Sorcerer's Stone,Color,Adventure,Family,Fantasy,,,,,based on novel,birthday,evil wizard,quidditch,wizard,English,UK,PG,7.5
R.I.P.D.,Color,Action,Comedy,Fantasy,,,,,drug dealer,gold,partner,police,undead,English,USA,PG013,5.6
Pirates of the Caribbean: The Curse of the Black Pearl,Color,Action,Adventure,Fantasy,,,,,caribbean,curse,governor,pirate,undead,English,USA,PG013,8.1
The Hunger Games: Mockingjay 0 Part 1,Color,Adventure,Sci0Fi,Thriller,,,,,based on young adult novel,manipulation,rebellion,symbol,uprising,English,USA,PG013,6.7
The Da Vinci Code,Color,Mystery,Thriller,,,,,,based on supposedly true story,holy grail,mary magdalene,opus dei,secret,English,USA,PG013,6.6
Rio 2,Color,Adventure,Animation,Comedy,Family,Musical,,,amazon,bird,father in law,jungle,no opening credits,English,USA,G,6.4
X0Men 2,Color,Action,Adventure,Fantasy,Sci0Fi,Thriller,,,mutant,prison,professor,school,x men,English,Canada,PG013,7.5
